N°,Pregunta cuestionario,Categoría,Dificultad,Razón de la puntuación
1,¿Qué emoji uso siempre en nuestros chats?,Rompehielos/Divertidas,1,Observación básica de hábitos.
2,¿Quién seria si fuéra un personaje de un videojuego?,Rompehielos/Divertidas,2,Requiere creatividad y complicidad.
3,¿Qué chiste malo he contado más veces?,Rompehielos/Divertidas,1,Deberían recordarlo.
4,¿Qué superpoder ridículo elegiría para molestar a la gente?,Rompehielos/Divertidas,3,Imaginación al límite.
5,¿Qué canción de los 90 cantaría en la ducha?,Rompehielos/Divertidas,2,Depende de su playlist secreto.
6,¿Cuál es mi snack favorito?,Rompehielos/Divertidas,1,Observación básica de hábitos.
7,¿Qué animal sería si pudiera transformarme?,Rompehielos/Divertidas,2,Requiere creatividad y complicidad.
8,¿Qué app uso más en el celular (después de WhatsApp)?,Rompehielos/Divertidas,2,Preferencias digitales.
9,¿Qué película mala veo o vería una y otra vez?,Rompehielos/Divertidas,1,Todos tienen una.
10,¿Qué cosa absurda llevaría a un viaje al espacio?,Rompehielos/Divertidas,3,Imaginación extravagante.
11,¿Qué deporte olímpico sería mi peor desempeño?,Rompehielos/Divertidas,2,Conocimiento de habilidades.
12,¿Qué muletilla o frase digo cuando estoy nervioso/a?,Rompehielos/Divertidas,2,Deberían haberlo notado.
13,¿Qué disfraz infantil usaría en una fiesta de adultos?,Rompehielos/Divertidas,3,Creatividad + humor.
14,¿Cuál es mi hábito más molesto?,Rompehielos/Divertidas,1,Suele discutirse.
15,¿Qué vendería en un mercado negro?,Rompehielos/Divertidas,3,Imaginación + rarezas.
16,¿Qué serie estoy viendo actualmente?,Rompehielos/Divertidas,1,Gustos televisivos.
17,¿Qué foto de mi infancia no mostraría por que me averguenza?,Rompehielos/Divertidas,2,Memoria visual.
18,¿Qué olor detesto con toda mi alma?,Rompehielos/Divertidas,1,Preferencias obvias.
19,¿De qué sería mi contenido si fuera influencer?,Rompehielos/Divertidas,3,Creatividad + autoconocimiento.
20,¿Qué palabra inventada uso?,Rompehielos/Divertidas,1,Deberían haberlo notado.
21,¿Dónde fue nuestro primer beso?,Nostálgicas,1,Momento clave en la relación.
22,¿Qué te regale en nuestro primer aniversario?,Nostálgicas,2,Memoria de detalles específicos.
23,¿Qué me regalaste en nuestro primer aniversario?,Nostálgicas,2,Memoria de detalles específicos.
24,¿Qué película vimos en nuestra primera cita en casa?,Nostálgicas,2,Recuerdo de noche íntima.
25,¿Qué canción sonaba al declararnos amor?,Nostálgicas,3,Pocos notan la música en momentos emotivos.
26,¿Cual es el error mas gracioso que cometi durante nuestro noviazgo?,Nostálgicas,2,Situación memorable pero no comentada.
27,¿Que chiste interno o inside joke tenemos en nuestra relacion?,Nostálgicas,2,Detalle simbólico.
28,¿Qué comida preparé que terminó en desastre?,Nostálgicas,1,Evento memorable y divertido.
29,¿Qué prenda de ropa usaba al empezar a salir?,Nostálgicas,2,Recuerdo de outfits antiguos.
30,¿Qué excuse inventé para verte la primera vez?,Nostálgicas,2,Detalle específico olvidable.
31,¿En qué lugar pasamos horas hablando?,Nostálgicas,1,Sitio emblemático.
32,¿Qué libro recomendé y nunca leiste?,Nostálgicas,3,Seguimiento a recomendaciones.
33,¿Qué serie recomendé y nunca viste?,Nostálgicas,3,Seguimiento a recomendaciones.
34,¿Qué desafío superamos que nos unió?,Nostálgicas,2,Recuerdo emocional no verbalizado.
35,¿Primera vez que le mentiste?,Nostálgicas,3,Confesión incómoda.
36,¿Cual es el objeto mas antiguo que guardo de nuestra relacion?,Nostálgicas,2,Detalle simbólico.
37,¿Qué apodo me pusiste al principio?,Nostálgicas,1,Apodos temporales memorables.
38,¿Qué objetivo aún no cumplimos?,Nostálgicas,2,Metas a largo plazo.
39,"¿Qué día empezamos a ser ""oficiales""?",Nostálgicas,1,Deberias saberlo
40,¿Qué crisis tonta casi nos hace terminar?,Nostálgicas,3,Conflictos pasados.
41,¿Qué tradición abandonada extraño?,Nostálgicas,2,Nostalgia por rituales.
42,¿Qué foto antigua es mi favorita y por qué?,Nostálgicas,3,Memoria visual + significado.
43,¿Qué momento me hizo sentir más amado/a?,Profundas/Románticas,2,Recuerdo emocional compartido.
44,¿Qué sueño personal no he cumplido?,Profundas/Románticas,2,Intuición de aspiraciones.
45,¿Qué miedo oculto?,Profundas/Románticas,3,Atención a señales sutiles.
46,¿Qué cualidad mía admiras?,Profundas/Románticas,1,Cualidad no verbalizada.
47,¿Si leyera la mente con quien estrenaria mi superpoder?,Profundas/Románticas,3,Deseos o inquietudes ocultas.
48,¿Cual es la situacion en la que me he sentido mas vulnerable?,Profundas/Románticas,2,Empatía y memoria emocional.
49,¿Qué promesa quiero que nunca rompas?,Profundas/Románticas,1,Acuerdo tácito.
50,¿Qué parte de mi personalidad desconoces?,Profundas/Románticas,3,Límites en la conexión.
51,Lo mas importante que aprendi en nuestra relacion es...,Profundas/Románticas,2,Introspección y gratitud.
52,Un sacrificio que siento que no valoras es..,Profundas/Románticas,3,Dinámicas no discutidas.
53,Este gesto mio aun que pequeño creo que te hace sentir amado...,Profundas/Románticas,1,Detalles mencionados con cariño.
54,¿Qué creo que cambiarías de mí?,Profundas/Románticas,3,Honestidad y tacto.
55,¿Qué desafío me hizo sentir orgulloso/a?,Profundas/Románticas,2,Logros no verbalizados.
56,¿Qué frase me inspira a ser mejor?,Profundas/Románticas,2,Conocimiento de filosofia de vida
57,¿Qué deseo íntimo no he confesado?,Profundas/Románticas,3,Fantasías o vulnerabilidades.
58,¿Qué parte de tu vida no entiendo?,Profundas/Románticas,3,Necesidades no cubiertas.
59,¿Qué necesito escuchar más de ti?,Profundas/Románticas,2,Conciencia de inseguridades.
60,¿Qué haría diferente si fuera nuestro último día?,Profundas/Románticas,3,Prioridades y arrepentimientos.
61,¿Qué inseguridad tengo que me sueles apoyar?,Profundas/Románticas,3,Observación y sensibilidad.
62,¿Qué area de nuestra relacion de pareja debemos trabajar?,Profundas/Románticas,2,Futuro y comunicación.
63,¿Qué invento ridículo tendría en casa en el 2050?,Hipotéticas/Imaginativas,2,Creatividad + tecnología.
64,Si nuestra relacion fuera una pelicula o serie de television seria como...,Hipotéticas/Imaginativas,2,Análisis de personalidad.
65,¿Qué deseo pediría por los dos a un genio?,Hipotéticas/Imaginativas,3,Sincronizar prioridades.
66,¿Que apodo ridiculo me averguenza?,Hipotéticas/Imaginativas,1,Inside jokes.
67,¿Qué trauma mío afecta nuestra relacion?,Hipotéticas/Imaginativas,3,Autoconciencia y vulnerabilidad.
68,¿Qué objeto inútil llevaría a un apocalipsis zombie?,Hipotéticas/Imaginativas,2,Práctico vs. humorístico.
69,¿Qué regla absurda impondríamos como dioses?,Hipotéticas/Imaginativas,3,Filosofía de pareja.
70,¿De qué seríamos famosos mundialmente?,Hipotéticas/Imaginativas,1,Habilidades o rarezas.
71,¿Si pudiera viajar en el tiempo a que epoca lo haria?,Hipotéticas/Imaginativas,2,Afinidades históricas.
72,¿Cual es nuestra cancion?,Hipotéticas/Imaginativas,1,Símbolo de la relación.
73,"¿Si no viviera en este pais, que pais escogeria para vivir?",Hipotéticas/Imaginativas,3,Creatividad + coordinación.
74,¿Cuál sería mi debilidad como espía?,Hipotéticas/Imaginativas,2,Tentaciones o hábitos.
75,¿Qué pediría a cambio de vender mi alma?,Hipotéticas/Imaginativas,3,Humor negro + prioridades.
76,Si pudiera elegir un super poder seria...,Hipotéticas/Imaginativas,3,Complementariedad.
77,¿Si tuvieramos un restaurante de que tipo seria?,Hipotéticas/Imaginativas,2,Gustos culinarios + humor.
78,El valor mas importante con el que vivo es...,Hipotéticas/Imaginativas,2,Valores compartidos.
79,¿Qué habilidad mía nos salvaría en una isla desierta?,Hipotéticas/Imaginativas,1,Habilidades prácticas.
80,¿Qué actor me interpretaria interpretaría en una película?,Hipotéticas/Imaginativas,2,Rasgos físicos/personalidad.
81,¿Qué compra absurda haría con una fortuna?,Hipotéticas/Imaginativas,2,Deseos materialistas.
82,¿Qué lugar público me genera fantasías contigo?,Intimas/Picantes,2,Imaginación + riesgo moderado.
83,¿Qué prenda mía te vuelve loco/a?,Intimas/Picantes,1,Preferencias visuales.
84,El juego de roles que me gustaria probar es...,Intimas/Picantes,3,Fantasías íntimas.
85,La parte de mi cuerpo que creo que no valoras suficiente es...,Intimas/Picantes,2,Exploración física.
86,La anecdota mas graciosa en la intimidad que tenemos es....,Intimas/Picantes,1,Humor leve.
87,¿Qué pasos tendría una cita erótica diseñada por mi?,Intimas/Picantes,3,Planificación detallada.
88,¿Qué palabra/frase me excita en la intimidad?,Intimas/Picantes,2,Preferencias verbales.
89,¿Qué fantasía no he confesado?,Intimas/Picantes,3,Deseos ocultos.
90,Un habito intimo mio excitante/adorable es...,Intimas/Picantes,1,Detalles tiernos.
91,¿Qué canción describiría nuestro estilo íntimo?,Intimas/Picantes,2,Humor + autoconciencia.
92,¿Qué juguete que no hayamos utilizado en la intimidad me gustaría incorporar?,Intimas/Picantes,3,Exploración física.
93,Un momento intimo querepetiria es ....,Intimas/Picantes,1,Recuerdo positivo.
94,Si nuestra relacion fuera sadico – masoquista yo seria..,Intimas/Picantes,1,Dinámicas de poder.
95,¿Qué olor mío te atrae?,Intimas/Picantes,1,Química básica.
96,La epoca historica en que quiero hacerlo contigo es,Intimas/Picantes,3,Creatividad + contexto.
97,¿Qué película nos inspiró en intimidad?,Intimas/Picantes,2,Influencias culturales.
98,Un secreto sexual mio que no has descubierto es...,Intimas/Picantes,3,Confesión de alto riesgo.
99,¿Qué parte de mi personalidad se refleja en intimidad?,Intimas/Picantes,2,Conexión carácter-química.
100,¿Cual seria la primer regla que pondriamos si quisieramos explorar nuestra sexualidad mas alla de donde estamos hoy?,Intimas/Picantes,3,Comunicación honesta.
101,La habilidad absurda (ej: atrapar cacahuates con la boca) que domino es...,Rompehielos/Divertidas,3,Humor + conocimiento de rarezas.
102,El primer detalle tuyo que me hizo pensar que eras especial para mi fue...,Nostálgicas,1,Momento clave en la relación.
103,Si pudiera guardar un recuerdo nuestro en una cápsula del tiempo sería...,Profundas/Románticas,3,Selección simbólica de momentos clave.
104,El pequeño detalle que me hace notar que piensas en mi durante el dia es...,Profundas/Románticas,2,Observación de hábitos cotidianos.
105,"Si desapareciera mi memoria, ¿qué experiencia nuestra me contarías primero?",Profundas/Románticas,3,Priorización de vivencias significativas.
106,La escapada juntos perfecta con solo 24 horas y sin planeacion previa seria...,Hipotéticas/Imaginativas,3,Imaginación + coordinación.
107,"Si intercambiamos cuerpos, ¿qué cosa hilarante o tierna harías con el mío?",Hipotéticas/Imaginativas,3,Autoconciencia + humor.
108,"Si nos regalaran un animal exótico (ej: un panda), ¿qué nombre le pondríamos?",Hipotéticas/Imaginativas,1,Inside jokes o preferencias.
109,Si mañana abriéramos un negocio en pareja seria...,Hipotéticas/Imaginativas,2,Visión de equipo + roles complementarios.
110,¿Cuál es mi color favorito?,Rompehielos/Divertidas,1,Deberían haberlo notado.
111,¿Qué tipo de música me gusta más?,Rompehielos/Divertidas,1,Deberían haberlo notado.
112,¿Cual es mi comida favorita?,Rompehielos/Divertidas,1,Deberían haberlo notado.
113,¿Cuál es mi postre o dulce favorito?,Rompehielos/Divertidas,1,Deberían haberlo notado.
114,¿Cual es mi bebida no alcoholica favorita?,Rompehielos/Divertidas,1,Deberían haberlo notado.
115,¿Qué temporada del año es mi favorita?,Rompehielos/Divertidas,1,Deberían haberlo notado.
116,¿Qué sabor de helado elijo siempre?,Rompehielos/Divertidas,1,Deberían haberlo notado.
117,"¿Prefiero vacaciones de descanso, vacaciones de aventura o vacaciones para conocer/aprender?",Rompehielos/Divertidas,1,Deberían haberlo notado.
118,¿Cuál es mi bebida alcohólica favorita (si consumo)?,Rompehielos/Divertidas,1,Deberían haberlo notado.
119,Mi deporte favorito es...,Rompehielos/Divertidas,1,Deberían haberlo notado.
120,Algo que siempre me hace reir a carcajadas es...,Rompehielos/Divertidas,1,Deberían haberlo notado.
121,Si fuera un ave seria...,Hipotéticas/Imaginativas,3,Imaginacion y creatividad
122,¿Soy un ave madrugadora o un ave nocturna?,Rompehielos/Divertidas,1,Deberían haberlo notado.
123,Algo que siempre me estresa con facilidad es...,Profundas/Románticas,1,Deberían haberlo notado.
124,"Escoge las tres palabras que me describan mejor al tomar decisiones (logico o emocional, consevador o arriesgado, relajado o estresado)",Profundas/Románticas,2,Son muchas combinaciones
125,Mi habito mas gracioso es...,Rompehielos/Divertidas,1,Deberían haberlo notado.
126,¿Qué frase o dicho repito mucho?,Rompehielos/Divertidas,1,Deberían haberlo notado.
127,¿En qué situacion me pongo tímido/a?,Rompehielos/Divertidas,1,Deberían haberlo notado.
128,¿Cómo se llamaba mi mascota favorita de todas?,Rompehielos/Divertidas,2,Ya es cuento viejo
129,¿Qué quería ser de niño/a?,Rompehielos/Divertidas,1,Deberias saberlo
130,¿Cuál era mi materia favorita en el colegio?,Rompehielos/Divertidas,2,Ya es cuento viejo
131,¿Cuál fue mi primer trabajo?,Rompehielos/Divertidas,2,Ya es cuento viejo
132,¿Qué ciudad o país siempre he querido visitar?,Rompehielos/Divertidas,1,Deberias saberlo
133,¿Qué juguete o objeto era mi favorito de pequeño/a?,Rompehielos/Divertidas,2,Ya es cuento viejo
134,¿Cuál fue mi peor travesura de niño/a?,Rompehielos/Divertidas,1,Deberias saberlo
135,¿Cuál es mi recuerdo más feliz de la infancia?,Rompehielos/Divertidas,2,Ya es cuento viejo
136,¿Qué apodo me decían de pequeño/a?,Rompehielos/Divertidas,1,Deberias saberlo
137,¿A qué hora suelo despertarme sin alarmas?,Rompehielos/Divertidas,1,Deberias saberlo
138,¿Qué hago primero al levantarme?,Rompehielos/Divertidas,1,Deberias saberlo
139,¿Cómo me relajo después de un día estresante?,Rompehielos/Divertidas,1,Deberias saberlo
140,¿Dónde guardo las llaves de la casa?,Rompehielos/Divertidas,1,Deberias saberlo
141,¿Qué hago siempre antes de dormir?,Rompehielos/Divertidas,1,Deberias saberlo
142,"¿Cómo me gusta el café o el té (azúcar, leche, etc.)?",Rompehielos/Divertidas,1,Deberias saberlo
143,¿Qué lado de la cama prefiero para dormir?,Rompehielos/Divertidas,1,Deberias saberlo
144,¿Soy de dejar las cosas ordenadas o desordenadas?,Rompehielos/Divertidas,1,Deberias saberlo
145,¿Qué canción tarareo sin darme cuenta?,Rompehielos/Divertidas,2,Era dificil
146,¿Qué hago cuando estoy aburrido/a?,Rompehielos/Divertidas,2,Era dificil
147,¿Dónde nos conocimos?,Nostálgicas,1,Deberias saberlo
148,¿Qué fue lo primero que pensaste de mí?,Profundas/Románticas,2,Era dificil
149,¿Cuál fue nuestra primera cita?,Nostálgicas,1,Deberias saberlo
150,"¿Qué momento juntos te hizo pensar ""esto es especial""?",Nostálgicas,2,Era dificil
151,¿Qué actividad disfrutamos más hacer juntos?,Rompehielos/Divertidas,1,Deberias saberlo
152,¿Qué película hemos visto más veces juntos?,Rompehielos/Divertidas,1,Deberias saberlo
153,¿Qué detalle tuyo me emocionó?,Nostálgicas,2,Era dificil
154,¿Quién es mi mejor amigo/a?,Rompehielos/Divertidas,1,Deberias saberlo
155,¿Con qué familiar tengo una relación más cercana?,Rompehielos/Divertidas,1,Deberias saberlo
156,¿Qué tradición familiar es importante para mí?,Profundas/Románticas,1,Deberias saberlo
